,"New & Change in May 1, 2026",,,,,,
,New Products,,,,,,
,,,,,,,
,Category,Item #,Item Type,Notes,Description, MSRP  ,EAN Code
,Recording - Network,XRN-6420RB2-60TB,64 CH NVR," 
Price increase from $12,654.00 to $14,754.00","8K NVR (Intel based), 64Ch, 60TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $14,754.00 ",849688023709 
,Recording - Network,XRN-6420RB2-64TB,64 CH NVR," 
Price increase from $13,134.00 to $15,374.00","8K NVR (Intel based), 64Ch, 64TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $15,374.00 ",849688023716 
,Recording - Network,XRN-6420RB2-80TB,64 CH NVR," 
Price increase from $15,054.00 to $17,854.00","8K NVR (Intel based), 64Ch, 80TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $17,854.00 ",849688023723 
,Recording - Network,PRN-6400DB4-12TB,NVR,"Price increase from $14,560.00 to $14,980.00","8K NVR (Intel based), 12TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $14,980.00 ",849688019221 
,Recording - Network,PRN-6400DB4-16TB,NVR,"Price increase from $15,040.00 to $15,600.00","8K NVR (Intel based),16TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $15,600.00 ",849688019238 
,Recording - Network,PRN-6400DB4-20TB,NVR,"Price increase from $15,520.00 to $16,220.00","8K NVR (Intel based), 20TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $16,220.00 ",849688019245 
,Recording - Network,PRN-6400DB4-24TB,NVR,"Price increase from $16,000.00 to $16,840.00","8K NVR (Intel based), 24TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $16,840.00 ",849688019252 
,Recording - Network,PRN-6400DB4-32TB,NVR,"Price increase from $16,960.00 to $18,080.00","8K NVR (Intel based), 32TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $18,080.00 ",849688019269 
,Recording - Network,PRN-6400DB4-40TB,NVR,"Price increase from $17,920.00 to $19,320.00","8K NVR (Intel based), 40TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $19,320.00 ",849688019276 
,Recording - Network,PRN-6400DB4-48TB,NVR,"Price increase from $18,880.00 to $20,560.00","8K NVR (Intel based), 48TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $20,560.00 ",849688019283 
,Recording - Network,PRN-6400DB4-56TB,NVR,"Price increase from $19,840.00 to $21,800.00","8K NVR (Intel based), 56TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $21,800.00 ",849688019290 
,Recording - Network,PRN-6400DB4-64TB,NVR,"Price increase from $20,800.00 to $23,040.00","8K NVR (Intel based), 64TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $23,040.00 ",849688019306 
,Recording - Network,PRN-6400DB4-88TB,NVR,"Price increase from $23,680.00 to $26,760.00","8K NVR (Intel based), 88TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $26,760.00 ",849688019320 
,Recording - Network,PRN-6400DB4-96TB,NVR,"Price increase from $24,640.00 to $28,000.00","8K NVR (Intel based), 96TB RAW, 64 channels, H.265, H.264, MJPEG, 16 fixed internal SATA HDDs (10TB max per HDD), RAID 5 & 6, ARB (Automatic Recovery Backup), 400 Mbps recording / up to 32 Mbps playback, Dual stream recording, WiseStream technology, HDMI/VGA dual display, max. resolution of 32MP recording/display and fisheye dewarping, add AI to some P, X and Q series Hanwha Cameras, web UI 2.0 (no plugins required), AI search (Wisenet AI cameras only), QR Code. NDAA & FCC Compliant Model. "," $28,000.00 ",849688019337 
